Candidate Theta,Known Precision (TPR),Zero-Day DR (TNR),Youden J-Index
0.5,84.73%,16.67%,0.014
0.55,77.93%,19.54%,-0.0253
0.6,74.12%,21.84%,-0.0404
0.65,70.20%,24.14%,-0.0566
0.7,66.41%,32.76%,-0.0083
0.75,63.03%,39.66%,0.0268
0.8,61.34%,43.68%,0.0502
0.85,59.03%,67.82%,0.2685
0.9,56.39%,100.00%,0.5639
0.95,53.17%,100.00%,0.5317
